Pulse,CMi1,CMi2,CMi3,CMi4,CMi5,CMi6,CMi7,CMi8,CMi9,CMi10,CMi11,CMi12,CMi13,CMi14,CMi15,CMi16,CMi17,CMi18,CMi19,CMi20,CMi21,CMi22,CM1,CM2,CM3,CM4,CM5,CM6,CM7,CM8,CM9,CM10,CM11,CM12,CM13,CM14,CM15,CM16,CM17,CM18,CM19,CM20,CM21,CM22,CM23,CM24,CM25,CM26,CM27,CM28,CM29,CM30,CM31,CM32,CM33,CM34,CM35,CM36,CM37,CM38,CM39,CM40,CM41,CM42,CM43,CM44,CM45,CM46,CM47,CM48,CM49,CM50,CM51,CM52,CM53,CM54,CM55,CM56,CM57,CM58,CM59,CM60,CM61,CM62,CM63,CM64,CM65,CM66,CM67,CM68,CM69
2,100.751634,100,95.42723632,99.47025265,98.42824014,100.3277712,100.7067138,100.8691873,100.7488479,100.1360673,99.73730298,100.7378985,100,100,100,100.2849003,99.29140833,100.6410256,99.7804878,98.60972018,99.20802534,100.7496252,98.5541227,100.1454545,100.4786771,100.0691085,100.0883392,100.5235602,100.1172333,100.2353864,99.5547407,100.0951294,100.0145349,99.88876529,100.0501002,100.3172086,100.2890173,100.042517,100.1342282,100.0620347,99.95337995,100.0886001,100.2956081,100.2962963,100.0796178,22.11159048,100.0684369,100.1080205,100,100,99.92363261,100.4372393,100.1579339,100.0821768,100.140056,100.1439539,100.3773585,100.1073446,100.3720811,100.3225806,100.2149808,99.86816084,100.0373134,100.15625,100.1573152,100.0085565,100.0290149,99.77692798,100,100.5517241,99.62121212,100.2173913,99.82716049,100.2579583,100.2275373,100.4739336,100.239521,100.2249719,99.83566146,100.265252,100,100.0788644,100.0757576,99.92652461,100.2697235,100.173913,99.93416722,100.0544959,100.054615,100.1156738,100.273224
3,102.124183,100,93.72496662,99.22575387,98.17057459,100.6555423,101.5648662,101.4341591,101.4112903,100.3733941,99.67892586,101.4757969,100.2043834,100.0910521,99.44483441,100.5698006,99.11426041,101.3532764,100.2439024,98.29749632,98.73284055,101.7241379,98.71043376,100.2181818,101.6100957,100.276434,100.3091873,100.8457511,100.3907776,100.549235,99.1094814,100.152207,100.1017442,99.77753059,100.1002004,100.6344171,100.3853565,100.0637755,100.2684564,100.1240695,100.0932401,100.1772002,100.5912162,100.5925926,100.4378981,99.9971955,100.1231864,100.1957872,100.1193887,100,99.84726522,100.655859,100.2601263,100.1232652,100.2334267,100.1919386,100.5660377,100.2146893,100.1539646,101.6129032,100.4299615,99.93408042,100.0746269,100.2083333,100.3146303,100.1197912,100.2828957,100.3239856,100.3144654,100.8275862,99.24242424,100.326087,99.82716049,100.5159166,100.6349878,100.9478673,100.9580838,100.4499438,99.83566146,100.397878,100.3759398,100.6309148,100.2272727,99.85304923,100.3371544,100.3478261,99.93416722,100.1089918,100.2184599,100.1735107,100.6010929
4,102.8431373,100.1893222,94.09212283,99.26650367,98.4540067,101.4302741,102.1706209,101.8904824,102.0737327,100.6581862,99.82486865,102.3022432,100.4087667,100.1821041,99.36187863,100.6410256,99.37998229,102.0655271,100.3484321,98.49189985,98.89123548,102.4737631,99.45291129,100.3636364,101.3489991,100.552868,100.5300353,101.0873943,100.8597108,100.7846214,99.26663174,100.304414,100.2034884,99.83314794,100.6012024,101.0309278,100.867052,100.085034,100.3355705,100.248139,100.2331002,100.2953337,100.6756757,100.8888889,100.7961783,99.98597751,100.2326855,100.2835539,100.286533,100.1539514,100.1775026,100.7651688,100.287997,100.1643535,100.3267974,100.2879079,100.754717,100.8983051,100.4618938,102.2580645,100.6449423,99.93408042,100.2238806,100.3125,100.4195071,100.1283477,100.4098361,100.5975143,100.3878407,100.9655172,99.49494949,100.4347826,100.117284,100.9165752,100.9842311,101.4218009,101.1976048,101.799775,99.91783073,100.464191,100.7518797,100.7886435,100.6818182,100,100.7417397,100.5217391,99.93416722,100.3269755,100.2184599,100.4048583,102.1857923
5,103.1372549,100.4543733,94.45927904,99.63325183,98.78897191,102.443385,102.7763756,102.3468057,102.764977,100.9429783,99.91243433,102.7154664,100.739259,100.4097343,99.57245868,100.9259259,99.64570416,102.9202279,100.4529617,98.79234168,99.15522703,103.4482759,99.84368894,100.4363636,101.8276762,100.7601935,100.7508834,101.5706806,101.0550996,101.1377011,99.63331587,100.304414,100.3343023,99.88876529,100.7014028,101.1895321,101.0597303,100.3401361,100.3691275,100.3101737,100.3030303,100.3544005,100.7179054,101.4814815,101.2340764,99.97475951,100.3011224,100.4928436,100.4775549,100.3079028,100.3426213,100.8198238,100.3019324,100.2556611,100.5602241,100.3358925,101.0377358,101.240113,100.7185014,102.5806452,100.9560987,99.93408042,100.3731343,100.46875,100.4719455,100.248139,100.5367764,100.8710431,100.4192872,100.7034483,99.87373737,100.5815217,100.2623457,101.1169045,101.3334744,101.8957346,101.4371257,100.7874016,100,100.4973475,101.1278195,100.7886435,100.9090909,100.2204262,101.146325,100.6086957,100,100.599455,100.4369197,100.6362059,102.6229508
6,104.7712418,100.7572889,94.72630174,100.1629992,99.17547024,103.4564958,103.8364462,102.9769665,103.2834101,101.1961268,100.2335085,103.1286895,101.0697513,100.6373645,99.80218238,101.0683761,99.73427812,103.7037037,100.5923345,99.25184094,99.36642027,104.197901,100.3126221,100.6545455,106.048738,101.0366275,100.9275618,101.7317761,101.2895662,101.4907807,99.84284966,100.6468798,100.4360465,100,100.751503,101.8636003,101.1560694,100.5952381,100.4026846,100.6823821,100.3729604,100.4134672,100.7601351,101.9259259,101.4530255,99.97475951,100.4243088,100.5974885,100.8834766,100.5901471,100.4251806,100.8471512,100.3158677,100.2556611,100.7936508,100.5278311,101.2264151,101.4110169,100.9751091,102.7419355,101.1116768,99.86816084,100.5223881,100.5208333,100.5243838,100.4534953,101.1896127,101.9545358,100.6289308,100.5724138,100.0631313,100.7282609,100.4074074,101.3172338,101.7832575,102.1327014,101.5568862,102.1372328,100.1643385,100.5139257,102.2556391,101.1041009,101.0606061,100.4408523,101.4834794,100.7826087,100,100.7629428,100.6007646,100.8675535,102.7322404
7,105.0980392,101.0980689,95.12683578,100.4278729,99.4846689,103.9928486,104.7450782,103.2920469,103.6578341,101.4650971,100.4378284,103.4238489,102.0568795,100.9601854,100.0574309,101.2108262,99.95571302,104.4159544,100.5923345,99.48159057,99.63041183,104.9475262,100.9378664,100.7272727,106.483899,101.38217,101.2367491,102.0942408,101.7584994,101.7653982,100.2095338,101.0083714,100.5668605,100.1112347,100.8016032,102.5376685,101.4450867,100.7653061,100.5369128,100.8684864,100.5128205,100.4134672,100.8445946,102.5185185,101.5625,99.72796365,100.5064331,100.7021334,101.0267431,100.7312692,100.4664603,100.8608149,100.3994797,100.5843682,101.0270775,100.6238004,101.509434,101.4964689,101.1034129,102.8225806,101.267255,99.80224127,100.5970149,100.7291667,100.6292606,100.4962779,101.5160308,102.4962821,100.7337526,100.4413793,100.1578283,100.9456522,100.5401235,101.2074643,102.2330405,102.3696682,101.9161677,102.3622047,100.2465078,100.530504,102.8195489,101.4195584,101.2121212,100.5878031,101.9554956,100.9565217,100.0658328,100.653951,100.7099945,101.2145749,103.442623
8,105.2614379,100.7194245,95.46061415,100.6927465,99.87116722,104.4696067,105.3508329,103.6071273,104.0322581,101.7340675,100.729714,103.837072,102.5504436,101.2830064,100.3126795,101.7094017,100.1771479,105.0569801,100.8362369,99.71134021,99.89440338,105.6971514,101.6021884,100.8727273,107.0496084,101.658604,101.590106,102.5372533,102.2274326,102.19694,100.4190676,101.3888889,100.6831395,100.1668521,101.1022044,102.7755749,101.5895954,100.6802721,100.6040268,101.0545906,100.6993007,100.5906675,101.0135135,102.8148148,101.6719745,99.60456572,100.6159321,100.9451796,101.2416428,100.8018303,100.5077399,100.8744787,100.4830918,100.6756757,101.2605042,100.7677543,101.7924528,101.5391949,101.4883244,102.8629032,101.6349853,99.86816084,100.8955224,100.8333333,100.7341374,100.6160691,101.6792398,102.7671553,100.8385744,100.7724138,100.2051768,101.0543478,100.6728395,101.6959385,102.6034501,102.7843602,102.0359281,102.4746907,100.4108463,101.061008,103.1015038,101.6561514,101.5909091,100.8817046,102.4275118,101.0434783,100.0658328,100.9809264,100.9284544,101.5615963,103.6612022
9,105.5882353,101.5524423,95.89452603,101.1409943,100.231899,104.9463647,105.8808682,104.0851804,104.6082949,102.1928992,101.0215995,104.1322314,102.7972256,101.6058273,100.567928,102.0655271,100.3542958,105.8404558,101.0801394,100.0883652,100.1055966,106.1469265,102.0711215,101.0909091,107.3977372,101.935038,101.8992933,102.8997181,102.6182102,102.5892507,100.7857517,101.5601218,100.8430233,100.1946607,101.3026052,103.2513878,101.734104,100.8503401,100.6711409,101.2406948,100.8857809,100.7678677,101.1824324,103.2592593,101.8312102,99.54286676,100.7254312,101.0667027,101.504298,100.8371108,100.6728586,101.1637293,100.6503159,100.8400292,101.6806723,100.815739,102.1698113,101.5605579,101.8732358,102.8830645,101.8188504,99.86816084,101.0820896,100.9375,100.8390142,100.7444169,101.7608443,102.9025919,101.048218,100.937931,100.228851,101.3804348,101.0462963,101.9401756,102.9738597,103.1990521,102.2754491,102.5871766,100.4930156,101.3262599,103.2424812,101.9716088,101.7424242,100.8817046,103.0343898,101.3913043,100.1974984,101.6348774,101.1469143,101.8507808,103.8251366
10,106.2745098,101.8553578,96.12817089,101.5077425,100.6183973,105.601907,106.4109036,104.3242069,104.9827189,102.6517309,101.3426737,104.4864227,102.9206166,101.9452032,100.8550826,103.9529915,100.5314438,106.4102564,101.2195122,100.5596465,100.4751848,106.8215892,102.7745213,101.2363636,108.0069626,102.2805805,102.2968198,103.3830044,103.1652989,102.9815614,101.0476689,101.9596651,101.0174419,100.2085651,101.4028056,103.7272006,102.1194605,101.0204082,100.8053691,101.3027295,100.979021,100.8860012,101.2668919,103.7037037,102.0700637,99.48116779,100.8486176,101.1274642,101.7191977,100.8547511,100.8379773,101.3083546,100.8732813,100.9495982,102.0074697,100.9596929,102.5471698,101.5712394,102.2260713,102.8931452,102.0027155,100.0659196,101.2686567,100.9375,100.9701101,100.8813211,101.8016466,102.9703102,102.5157233,101.0206897,100.2406881,101.3804348,101.2330247,102.1844127,103.3442692,103.436019,102.5149701,102.6996625,100.7395234,101.5915119,103.3129699,102.2082019,102.0454545,101.1756062,103.4389751,101.3913043,100.2633311,101.9618529,101.2561442,102.1399653,103.715847
11,106.8627451,102.04468,96.39519359,101.9356153,100.8760629,106.2574493,107.0671378,104.5632334,105.3571429,103.1263844,101.5761821,104.8406139,103.0440077,102.2845791,101.135856,104.8967236,100.7971656,106.980057,101.3937282,100.736377,100.6335797,107.3463268,103.4388433,101.3818182,108.5291558,102.76434,102.6060071,103.7051953,103.5169988,103.3738721,101.51912,102.0928463,101.1482558,100.2224694,101.503006,104.4012688,102.0231214,101.1054422,100.9395973,101.5508685,101.1188811,101.0041347,101.4358108,104.2962963,102.1894904,99.55969375,100.9581166,101.1882258,101.9579752,100.8723914,101.003096,101.45298,100.984764,101.0591673,102.334267,101.0556622,103.0188679,101.5819209,102.5789069,102.8981855,102.1724372,99.86816084,101.4179104,100.8854167,101.1012061,101.1807992,101.8424489,103.0041693,103.2494759,101.062069,100.2525253,101.5978261,101.3263889,102.4615807,103.9527992,103.6137441,102.754491,102.8121485,100.9860312,101.3262599,103.3834586,102.444795,102.1969697,101.3960323,103.9109912,101.3913043,100.3291639,102.3433243,101.474604,102.4291498,104.6994536
