Pulse,CMi1,CMi2,CMi3,CMi4,CMi5,CMi6,CMi7,CMi8,CM1,CM2,CM3,CM4,CM5,CM6,CM7,CM8,CM9,CM10,CM11,CM12,CM13,CM14,CM15,CM16,CM17,CM18,CM19,CM20,CM21,CM22,CM23,CM24,CM25,CM26
2,100.581134,100.482783,102.377138,101.862556,101.002426,100.523013,100.878349,101.217418,100.32529,100.220247,100.212674,100.191819,100.496749,100.245531,100.255609,100.369686,100.690919,100.113809,100.120265,100.0093,100.420757,100.311526,100.144092,100.103813,100.038975,100.12663,100.424779,100.406129,100.059934,99.942029,100.111173,100.494291,100.207423,100.644187
3,100.908624,101.613721,104.289184,102.646114,101.88354,101.17524,101.010101,101.459891,101.821623,100.582081,100.305719,100.570273,100.830925,100.356319,100.397614,100.739372,101.141352,100.132777,100.457005,100.297591,100.56101,100.519211,100.072046,100.273688,100.253337,100.154045,100.738938,100.713802,100.239736,99.9947299,100.265105,100.888957,100.414846,100.845496
4,101.476915,102.816676,105.224536,103.622351,102.451794,101.224465,101.449275,102.359062,102.3066,100.589947,100.571561,100.679144,101.083815,100.709645,100.624822,101.047443,101.729206,100.189681,101.118461,100.278992,100.981767,100.830737,100.360231,100.566251,100.526162,100.818527,101.022124,101.033783,100.239736,100.063241,100.119725,101.229979,100.422254,101.701057
5,101.746613,103.779574,105.880833,105.510597,103.626612,101.876692,102.108037,103.071328,102.365744,100.668607,100.880603,100.870963,101.66185,100.739587,100.795229,101.2939,102.179639,100.227618,101.118461,100.455687,101.12202,101.142264,100.648415,100.80219,100.682062,100.839415,101.327434,101.267614,100.539407,100.142292,100.115449,101.375584,100.629676,102.556618
6,102.067681,104.979862,106.723167,106.140013,105.235602,102.356633,101.796432,103.854314,102.95718,100.888854,101.212907,101.109441,102.077312,100.931221,100.937234,101.7252,102.458297,100.265554,101.346963,100.437087,101.12202,101.45379,100.720461,100.83994,100.779499,101.182752,101.579646,101.273768,100.719209,100.247694,100.26938,101.502031,100.970442,102.143936
7,102.591023,106.18015,107.472482,106.8465,107.393692,103.10731,102.371542,104.576682,103.069553,101.109101,101.305952,101.394577,102.248916,101.149804,101.221244,101.848429,102.565179,100.322458,101.635598,100.474286,101.402525,101.661475,101.080692,101.10419,100.96463,101.372045,101.986726,101.421451,100.899011,100.421607,100.235173,101.352594,101.177865,102.083543
8,103.085468,107.023019,107.942742,107.398844,108.549355,103.285749,103.118138,105.465751,104.29974,101.541729,101.57844,101.809321,103.134032,101.314489,101.221244,102.1565,102.672062,100.398331,101.575466,100.567284,101.823282,101.557632,101.29683,101.198565,101.062068,101.639665,102.168142,101.38453,101.10878,100.474308,100.607175,101.586328,101.385288,103.452441
9,103.753291,107.775199,108.50602,108.143866,110.203039,103.636476,103.205973,105.85977,104.5718,101.478801,101.910743,101.954482,103.305636,101.613917,101.505254,102.649415,102.744589,100.379363,101.924233,100.771878,101.823282,101.765317,101.440922,101.434504,101.247199,101.770212,102.358407,101.962956,101.348517,101.032938,100.483174,101.659131,101.326024,103.885254
10,104.189944,108.618068,108.836753,108.619139,111.722641,104.20256,103.381643,106.723581,104.684173,101.557461,102.123417,102.239618,103.721098,101.670809,101.590457,102.772643,102.679696,100.417299,102.062538,100.725379,102.244039,102.076843,101.585014,101.642129,101.344636,101.744103,102.681416,102.012184,101.378484,100.890646,100.637106,101.777914,101.600119,103.381983
11,104.713286,109.508949,109.44654,109.094412,113.363555,104.639429,103.623188,107.435846,104.903004,101.848502,102.24637,102.431438,104.217847,101.970237,101.760863,103.142329,102.855289,100.455235,102.200842,100.957872,102.384292,102.284528,101.873199,101.849755,101.481048,101.998668,102.849558,102.633684,101.468385,100.843215,100.701244,102.118936,101.674198,104.116759
12,104.982983,110.399829,110.195856,109.415543,113.638105,105.174748,103.864734,108.077389,105.121836,102.068749,102.518858,102.493649,104.389451,102.081025,101.902869,103.573629,102.927816,100.569044,102.393265,101.329861,102.524544,102.492212,102.017291,102.085693,101.685667,101.997363,102.938053,102.60907,101.798022,101.017128,100.547313,101.781746,101.881621,104.640161
13,105.666859,111.050652,110.38706,109.929351,114.391521,105.439331,104.523496,108.825015,104.648687,102.430583,102.934237,102.732127,104.497832,102.218762,102.101676,103.696858,103.000344,100.625948,102.549609,101.311262,102.945302,102.803738,102.233429,102.293318,101.900029,102.108328,103.446903,102.399852,102.157627,101.328063,100.551588,101.873707,102.089044,104.579768
14,106.103512,111.581446,110.717792,110.327553,113.909462,105.61777,104.501537,109.183673,105.45304,102.721624,103.093743,102.830629,104.669436,102.275654,102.243681,104.347231,103.004161,100.720789,102.778112,101.627453,102.945302,103.011423,102.305476,102.312193,102.065673,102.31198,103.823009,102.89213,102.217561,101.433465,100.795314,102.214729,102.363138,104.579768
15,106.581905,112.274946,111.281071,110.083494,114.045141,105.740832,104.479578,109.47161,105.671871,102.800283,103.246602,103.162424,105.166185,102.521185,102.385686,104.251386,103.042333,100.758725,102.790138,101.469357,103.225806,103.115265,102.59366,102.651944,102.24106,102.46472,103.632743,103.21211,102.037758,101.781291,100.731175,102.084451,102.503889,104.146955
16,107.329994,113.525913,112.216423,110.019268,114.18082,106.53458,104.45762,110.113154,106.10362,103.091324,103.548998,103.214267,105.74422,102.605024,102.527691,104.621072,103.11486,100.81563,103.05472,101.534456,103.366059,103.426791,102.809798,102.718007,102.309266,102.650096,104.079646,103.132115,102.547198,101.844532,100.675589,102.237719,102.844655,104.297937
17,107.622167,113.864661,112.175081,111.213873,114.129741,106.411519,104.435661,110.517276,106.215992,103.311571,103.731765,103.442376,105.328757,102.823607,102.726498,104.744301,103.256098,100.967375,103.138906,101.599554,103.506311,103.634476,102.881844,103.038883,102.445679,102.635736,104.261062,103.667467,102.816901,102.007905,100.611451,102.356502,102.985406,104.609965
18,108.116612,115.454376,112.924397,111.65061,114.512834,107.248339,104.435661,111.15882,106.488053,103.602612,104.004253,103.774172,105.906792,102.961344,102.868503,104.929144,103.22556,101.024279,103.223091,101.692551,103.646564,103.84216,103.170029,103.303133,102.737991,102.640958,104.469027,104.202818,103.026671,102.245059,100.615727,102.858457,103.192829,104.97232
19,108.66885,117.044091,113.16211,111.856134,114.908696,107.426778,105.445762,111.305314,106.600426,103.539684,104.306649,103.965991,105.671965,103.152978,102.982107,105.360444,103.229377,101.100152,103.415514,101.785548,103.927069,104.049844,103.242075,103.539071,102.835428,102.754533,104.681416,104.122823,102.697033,102.31357,100.769658,102.494444,103.33358,104.700554
20,108.90323,117.196794,113.911426,112.292871,115.368408,107.734433,105.31401,112.063043,106.872486,103.830724,104.549231,104.15781,105.924855,103.317663,103.095711,105.730129,103.233195,101.081184,103.644017,102.018041,104.067321,104.049844,103.530259,103.605134,103.001072,102.840694,104.951327,104.313581,103.655978,102.772069,100.983452,102.693693,103.541003,105.203825
21,109.259616,117.273146,113.451501,112.498394,116.057975,108.300517,105.753184,112.421701,106.984859,103.909384,104.821719,104.220022,106.09646,103.4554,103.237717,105.976587,103.408787,101.213961,103.728202,102.250535,104.347826,104.361371,103.674352,103.92601,103.147228,102.979073,104.893805,104.621254,103.685945,102.761528,101.047591,102.954249,103.815097,105.072974
22,109.596738,117.349497,114.247326,112.973667,117.200868,108.263598,106.455863,112.391392,106.990774,104.412806,104.944672,104.365182,106.286127,103.620086,103.294519,106.223044,103.44696,101.270865,103.812387,102.315633,104.488079,104.672897,103.89049,103.85051,103.273897,102.95427,105.632743,105.156606,103.416242,103.046113,101.103177,103.161162,103.889177,104.871666
23,110.206768,117.464025,115.182678,113.949904,117.743583,108.398966,107.158542,112.643968,107.369293,104.208291,105.127438,104.650319,106.782876,103.757823,103.464925,106.469501,103.519487,101.327769,104.004811,102.157537,104.908836,104.776739,104.106628,104.058135,103.371334,103.10962,105.482301,105.390438,103.715912,102.86693,101.077522,102.984903,104.229943,105.022647
24,110.360881,117.559464,116.211049,114.03982,118.746009,109.32193,107.334212,113.189533,107.747812,104.8533,105.429834,104.748821,106.873194,103.949457,103.60693,106.531115,103.69508,101.346737,104.125075,102.473728,104.768583,104.984424,104.178674,104.209136,103.556465,103.210141,105.411504,105.095071,103.955649,102.935441,101.351178,103.138172,104.370694,104.750881
